fps_id,fps_name,district,district_code,state,year,month,month_name,scraped_at_utc,total_etransactions,aadhaar_authenticated,other_mode_authenticated,non_authenticated,aadhaar_authenticated_pct,phh_regular_txn,phh_intra_state_txn,phh_inter_state_txn,phh_total_txn,aay_regular_txn,aay_intra_state_txn,aay_inter_state_txn,aay_total_txn,phh_regular_ration_card,phh_intra_state_ration_card,phh_inter_state_ration_card,phh_total_ration_card,aay_regular_ration_card,aay_intra_state_ration_card,aay_inter_state_ration_card,aay_total_ration_card,wheat_regular_kg,wheat_intra_state_kg,wheat_inter_state_kg,wheat_total_kg,rice_regular_kg,rice_intra_state_kg,rice_inter_state_kg,rice_total_kg,fortified_rice_regular_kg,fortified_rice_intra_state_kg,fortified_rice_inter_state_kg,fortified_rice_total_kg,coarse_grains_regular_kg,coarse_grains_intra_state_kg,coarse_grains_inter_state_kg,coarse_grains_total_kg,barley_regular_kg,barley_intra_state_kg,barley_inter_state_kg,barley_total_kg,bajra_regular_kg,bajra_intra_state_kg,bajra_inter_state_kg,bajra_total_kg,maize_regular_kg,maize_intra_state_kg,maize_inter_state_kg,maize_total_kg,jowar_regular_kg,jowar_intra_state_kg,jowar_inter_state_kg,jowar_total_kg,ragi_regular_kg,ragi_intra_state_kg,ragi_inter_state_kg,ragi_total_kg,kodo_regular_kg,kodo_intra_state_kg,kodo_inter_state_kg,kodo_total_kg,all_commodities_regular_kg,all_commodities_intra_state_kg,all_commodities_inter_state_kg,all_commodities_total_kg,quality_flags
158500100042,BHAGIRATHI-117 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:26+00:00,343,343,0,0,100.0,334,6,0,340,3,0,0,3,334,6,0,340,3,0,0,3,0,0,0,0.0,6145,75,0,6220.0,6.145,0.075,0,6.22,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6145,75,0,6220.0,
158500100043,DULER V.K.S SOCIETY-6 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:26+00:00,357,357,0,0,100.0,237,10,103,350,4,0,3,7,237,10,102,349,4,0,3,7,0,0,0,0.0,4660,225,2237,7122.0,4.66,0.225,2.237,7.122,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4660,225,2237,7122.0,
158500100044,PRAFULLA P. KANDOLKAR-45 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:27+00:00,146,146,0,0,100.0,79,3,0,82,60,4,0,64,79,3,0,82,60,4,0,64,0,0,0,0.0,3570,190,0,3760.0,3.57,0.19,0,3.76,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3570,190,0,3760.0,
158500100046,SANGEETA FAIR PRICE SHOP-114 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:27+00:00,42,42,0,0,100.0,41,1,0,42,0,0,0,0,41,1,0,42,0,0,0,0,0,0,0,0.0,675,5,0,680.0,0.675,0.005,0,0.68,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,675,5,0,680.0,
158500100047,ALINI A BHONSLE-47 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:28+00:00,198,198,0,0,100.0,141,0,22,163,29,1,5,35,141,0,22,163,29,1,5,35,0,0,0,0.0,4070,35,585,4690.0,4.07,0.035,0.585,4.69,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4070,35,585,4690.0,
158500100048,PRAKASH M COULEKAR-75 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:28+00:00,313,313,0,0,100.0,303,1,0,304,9,0,0,9,303,1,0,304,9,0,0,9,0,0,0,0.0,5875,5,0,5880.0,5.875,0.005,0,5.88,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,5875,5,0,5880.0,
158500100049,ROHIDAS G PARAB-99 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:29+00:00,126,126,0,0,100.0,98,0,0,98,28,0,0,28,98,0,0,98,28,0,0,28,0,0,0,0.0,2710,0,0,2710.0,2.71,0,0,2.71,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2710,0,0,2710.0,
158500100050,SHANTA TRIVIKRM JOSHI-90 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:29+00:00,80,80,0,0,100.0,4,70,0,74,3,3,0,6,4,70,0,74,3,3,0,6,0,0,0,0.0,180,1325,0,1505.0,0.18,1.325,0,1.505,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,180,1325,0,1505.0,
158500100051,SMT. SUJATA V. NAIK-19 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:29+00:00,123,123,0,0,100.0,110,0,0,110,13,0,0,13,110,0,0,110,13,0,0,13,0,0,0,0.0,2640,0,0,2640.0,2.64,0,0,2.64,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2640,0,0,2640.0,
158500100054,GAJANAN K PRABHU-46 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:30+00:00,140,140,0,0,100.0,112,8,1,121,19,0,0,19,112,8,1,121,19,0,0,19,0,0,0,0.0,2720,160,10,2890.0,2.72,0.16,0.01,2.89,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2720,160,10,2890.0,
